Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Albania,ALB,..,..,..,..,69.63767392,63.66915264,70.58076979,73.32022748,79.86441815,80.58387962,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Algeria,DZA,..,62.06759749,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,96.21541935,79.63919012,74.18307878,77.05489768,72.08027508,77.92366323,82.90976997,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Australia,AUS,12.25076374,29.60389433,24.09596424,29.30537712,30.63881902,39.97862106,38.09941052,42.28037018,47.04058951,54.6850333,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Azerbaijan,AZE,..,..,6.295012401,6.385575792,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Bahamas, The",BHS,24.41882502,18.75200428,30.90345984,33.68656743,35.2808663,36.43201343,44.12348037,47.07747347,47.95629351,51.85334662,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Bahrain,BHR,8.727364185,25.74499223,15.62940229,30.30678959,35.93609868,..,43.93769611,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Barbados,BRB,..,..,86.59950541,95.72675631,100.1773967,111.6533784,122.1711798,132.10481,145.7743228,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Belarus,BLR,..,15.01445182,18.55746198,18.44035811,39.41681084,24.42931342,23.83729556,24.54872626,37.59817806,39.9601531,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Belize,BLZ,28.12904944,..,82.11122907,80.18981025,76.89541693,74.94923434,77.35435185,77.08334964,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Bhutan,BTN,51.18801925,39.12591,56.77631368,54.88296067,62.5299588,72.51567422,96.13924675,90.65148698,91.40483115,107.6501112,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Bolivia,BOL,..,60.10919786,..,..,..,..,..,..,..,..,..,..
