Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Afghanistan,AFG,..,..,10.57508247,11.09194916,11.51016072,10.20062464,9.405609332,8.613730505,10.13111817,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Albania,ALB,..,..,..,..,23.90031939,23.05071012,22.30494951,24.5250981,24.7381502,24.23295426,25.69600087,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Algeria,DZA,..,38.27223685,37.52506975,37.05379917,40.42423831,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Angola,AGO,..,52.78838514,22.2507474,34.9944429,44.59228583,36.22542473,35.70586382,30.88454851,18.77664517,15.72076897,16.36059135,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Antigua and Barbuda,ATG,..,14.52644929,18.02613728,20.55434627,19.33887033,19.77009121,18.56071541,19.30975177,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Argentina,ARG,10.38753963,14.17761025,20.13602103,21.24131643,20.19640807,21.1822346,21.56528296,22.33229437,22.1490803,21.35900542,19.52834044,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Armenia,ARM,..,..,22.25324965,22.64795135,22.72642644,22.59780405,..,24.51455671,23.09249267,22.83472889,22.50763452,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Australia,AUS,24.47825635,25.95455309,24.50476913,23.33953516,22.71748576,23.56493854,24.47052642,24.44265361,24.50925248,24.84863859,24.77221489,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Austria,AUT,33.02880852,43.77722062,43.89386039,43.51165664,43.569801,44.1659022,44.8594734,44.75868832,45.07115772,44.06803773,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Azerbaijan,AZE,..,..,40.88985015,46.82891793,45.48135632,41.27397308,40.40579561,39.89639764,34.18370725,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Bahamas, The",BHS,..,11.60359662,13.18851208,12.78960673,14.22085408,13.30131057,12.72876284,13.22413368,14.39336686,16.28353414,16.93805227,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bahrain,BHR,27.1001006,28.89085244,19.47379466,22.20694877,25.13068317,..,24.04193915,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bangladesh,BGD,..,..,9.643072677,9.743829346,10.46265743,11.14523027,11.16041237,10.86688561,9.844484139,10.20957272,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Barbados,BRB,..,..,27.85937281,26.57445791,27.70223912,25.70116668,25.07772767,25.38639433,27.47666345,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Belarus,BLR,..,28.68127176,34.09953025,29.56995452,28.06336962,29.03956362,28.72201087,27.9218864,29.67688509,28.94264796,29.62102012,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Belgium,BEL,..,42.11349149,39.52588027,40.10304012,40.83593441,42.13423429,42.82782425,42.56533546,40.69494663,38.62222649,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Belize,BLZ,25.44939324,20.35820318,25.22008587,27.2882428,26.38910652,25.14071837,26.91750524,26.77964265,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Benin,BEN,..,..,16.41982825,17.26617156,16.16973157,15.7340073,16.73482019,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bhutan,BTN,17.00806237,22.87268129,22.94807174,21.48020794,20.46206607,20.82447455,19.97601055,19.3976723,19.02594976,18.79567109,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bolivia,BOL,13.67533123,17.80198046,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bosnia and Herzegovina,BIH,..,..,37.35762803,38.37019773,38.83560406,39.48127627,38.44867862,39.41685422,38.59324069,38.14608229,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Botswana,BWA,50.78817699,..,39.68110768,36.27281871,36.05177343,37.39350109,38.79595717,38.02289971,33.17329442,33.51607267,31.07021173,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Brazil,BRA,22.75278789,19.55466415,23.97555717,28.29279922,28.3873449,28.8879979,27.85906127,26.52265148,28.52009495,28.92703399,27.15648821,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Bulgaria,BGR,47.14632545,22.4396945,32.54433939,30.44140064,29.03985562,31.27057279,33.04316317,32.16303071,34.16895023,32.08642834,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Burkina Faso,BFA,..,..,13.64163447,15.31800167,15.6831917,17.5211882,18.92906645,17.39815444,17.00034372,19.05756829,19.18246083,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Burundi,BDI,..,..,..,14.77641164,16.72049353,15.97345067,14.54525902,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cabo Verde,CPV,..,..,25.95550077,..,..,20.99142286,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cambodia,KHM,..,..,10.84975297,11.47069427,11.55211329,12.63781184,13.74470323,16.57897293,15.93599605,17.36525529,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Canada,CAN,19.76545353,20.93143925,17.68822195,16.93596955,16.9650979,16.96113908,16.99475951,17.01946558,17.73788405,17.44214952,17.38614423,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Central African Republic,CAF,..,..,10.84780594,11.61706893,10.78944392,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Chile,CHL,18.84895014,20.88936892,19.00712826,21.40886152,22.56864117,22.10931814,20.90645656,20.56303726,21.01213884,20.79558297,21.11372343,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,China,CHN,..,..,11.64387554,11.20630667,11.20747937,11.10211254,10.91424839,15.80808387,16.03850912,15.68898246,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Colombia,COL,..,15.49434966,20.94073227,21.609072,23.52641433,26.36013268,24.5145781,23.35709664,22.94942708,23.93001844,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Congo, Dem. Rep.",COD,9.964746775,0.84222397,13.93746187,14.26562977,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Congo, Rep.",COG,..,..,31.3157555,40.85483873,43.94732543,43.82379879,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Costa Rica,CRI,23.08510754,22.25516097,23.60474107,23.10688309,23.57324825,23.74281502,24.15989693,23.72697592,24.17062106,24.71743174,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cote d'Ivoire,CIV,..,..,16.10853579,15.79385598,12.50391123,16.41185914,16.01539944,14.70162813,16.81425459,16.07778403,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Croatia,HRV,..,35.27279197,34.23242971,33.47368049,32.83882804,33.82436334,33.24585864,34.91611842,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
